id,session_id,session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
161093,3423214,1779111512658,-2.9,8.44,3.48,-3.1875,2.5,-2.5,-0.4333496,-0.121154785,-0.5706177,-0.6870117,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161095,3423243,1779111512687,-2.91,8.29,3.44,-2.75,1.9375,-2.875,-0.43377686,-0.12030029,-0.56951904,-0.68774414,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161098,3423260,1779111512718,-2.83,8.12,3.38,-2.0,1.9375,-3.9375,-0.43389893,-0.11993408,-0.56951904,-0.68774414,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161100,3423282,1779111512747,-2.94,7.98,3.38,-0.8125,4.5,-6.125,-0.43432617,-0.11828613,-0.56988525,-0.68743896,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161101,3423301,1779111512748,-3.34,7.86,3.49,0.625,1.625,-6.625,-0.43389893,-0.11657715,-0.5704346,-0.68756104,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161104,3423322,1779111512777,-3.33,7.92,3.61,2.1875,-2.125,-7.5,-0.43481445,-0.1161499,-0.5706787,-0.6868286,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161106,3423342,1779111512808,-3.1,8.31,3.72,3.375,-2.0,-6.5625,-0.43579102,-0.1159668,-0.5710449,-0.6859741,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161107,3423369,1779111512808,-3.12,8.43,3.67,3.4375,-2.625,-5.8125,-0.43762207,-0.11669922,-0.571228,-0.6845093,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161110,3423382,1779111512842,-2.97,8.68,3.77,3.4375,-4.0625,-5.5625,-0.43859863,-0.116882324,-0.57147217,-0.6836548,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161112,3423403,1779111512868,-2.96,8.81,3.79,3.0,-2.3125,-4.75,-0.43945312,-0.117004395,-0.5717163,-0.6828613,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161115,3423427,1779111512901,-3.09,8.78,3.8,2.6875,-1.1875,-3.5625,-0.44000244,-0.11706543,-0.57196045,-0.682312,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161116,3423448,1779111512901,-3.17,8.74,3.61,1.3125,-1.1875,-2.375,-0.44049072,-0.117370605,-0.571167,-0.6826782,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161118,3423475,1779111512927,-3.15,8.76,3.5,0.25,-1.625,-1.375,-0.440979,-0.11767578,-0.5701294,-0.68310547,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161121,3423493,1779111512957,-3.14,8.54,3.37,-2.5625,-0.4375,0.0,-0.44110107,-0.11767578,-0.56951904,-0.6835327,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161122,3423509,1779111512959,-3.29,8.44,3.41,-3.125,-0.25,0.625,-0.44091797,-0.117492676,-0.56921387,-0.68395996,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161124,3423531,1779111512987,-3.16,8.39,3.35,-4.75,-4.75,2.0,-0.4413452,-0.11779785,-0.567749,-0.6848755,2026-05-18T18:11:09.497317,4,Device1hookfront,1
161127,3423550,1779111513017,-3.0,8.21,3.4,-4.625,-4.75,2.0,-0.44140625,-0.11791992,-0.56677246,-0.6856079,2026-05-18T18:11:09.497317,4,Device1hookfront,1
