session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
2a,1,Left Ankle,4233744,1779734208626,-9.37,-1.57,-2.06,0.375,-0.3125,-0.0625,-0.5427246,0.5001831,-0.5949707,-0.31829834
2a,3,Left Wrist,4033763,1779734208627,14.885951,-8.144872,-3.9960139,2.2857764,-8.980301,48.40922,-107.35173,-50.736744,334.95154,0.0
2a,1,Left Ankle,4233731,1779734208626,-9.36,-1.58,-1.93,-0.125,-0.0625,-0.0625,-0.5427246,0.5001831,-0.5949707,-0.31829834
2a,1,Left Ankle,4233784,1779734208655,-9.37,-1.61,-1.94,0.6875,-1.375,-0.0625,-0.5430298,0.49993896,-0.59472656,-0.3184204
2a,4,Right Wrist,30236721,1779734208655,4.99073,-2.0531418,-4.146762,-2.93496,6.9311113,4.4937277,-153.999,-47.239887,233.26506,0.0
2a,1,Left Ankle,4233766,1779734208655,-9.34,-1.56,-2.06,0.5625,-1.5,-0.125,-0.5428467,0.5001221,-0.59484863,-0.31835938
2a,2,Right Ankle,1275798,1779734208656,-8.294174,2.8717222,3.2542388,-5.253362,-0.75375986,1.817619,41.247677,62.435184,253.30392,0.0
2a,1,Left Ankle,4233809,1779734208679,-9.39,-1.57,-1.85,0.625,-1.6875,0.0625,-0.54333496,0.49975586,-0.5946045,-0.31854248
2a,3,Left Wrist,4033824,1779734208691,15.11327,-8.573188,-4.017549,-5.4142237,-10.4503,50.089222,-107.4087,-50.78409,334.9931,0.0
2a,1,Left Ankle,4233826,1779734208711,-9.4,-1.59,-1.88,0.75,-0.625,0.0,-0.54351807,0.4996338,-0.5944824,-0.31860352
2a,4,Right Wrist,30236782,1779734208711,5.019444,-2.038785,-4.2257247,-3.42496,7.701112,4.423728,-154.03911,-47.189434,233.29189,0.0
2a,2,Right Ankle,1275859,1779734208715,-8.310925,2.7760093,3.2590244,-4.833362,0.01624024,1.957619,41.12143,62.482788,253.1937,0.0
2a,1,Left Ankle,4233871,1779734208732,-9.36,-1.64,-1.82,0.75,-0.6875,-0.125,-0.54382324,0.49938965,-0.5944214,-0.31854248
2a,1,Left Ankle,4233852,1779734208733,-9.36,-1.58,-1.88,0.6875,-0.6875,0.0,-0.54364014,0.49951172,-0.5944824,-0.31854248
2a,3,Left Wrist,4033883,1779734208742,15.103698,-8.32194,-3.8787653,14.045776,-16.3303,55.269222,-107.455315,-50.831585,335.0328,0.0
