session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
3b,1,Left Ankle,4781105,1779734755997,-9.37,-0.29,-2.73,0.0625,0.0625,0.0625,-0.50061035,0.456604,-0.66101074,-0.32244873
3b,1,Left Ankle,4781120,1779734755998,-9.31,-0.31,-2.77,0.0625,0.9375,0.0,-0.5004883,0.45666504,-0.6610718,-0.3223877
3b,2,Right Ankle,1823165,1779734755999,-8.308532,2.6635468,3.2518458,-6.303362,-1.8737599,2.727619,39.321156,63.303608,266.4353,0.0
3b,3,Left Wrist,4581160,1779734756024,16.75714,-8.410475,-3.615555,0.5357764,-7.3003006,51.559223,-102.29465,-51.270473,335.31784,0.0
3b,1,Left Ankle,4781161,1779734756025,-9.4,-0.3,-2.75,0.0625,-0.3125,0.0,-0.5004883,0.45666504,-0.6610718,-0.32232666
3b,1,Left Ankle,4781141,1779734756025,-9.35,-0.3,-2.75,0.1875,-0.125,0.1875,-0.5004883,0.45666504,-0.6610718,-0.32232666
3b,4,Right Wrist,30784117,1779734756025,6.335496,-2.0483565,-2.672783,-3.98496,4.5511117,4.073728,-140.6234,-62.66974,206.43231,0.0
3b,2,Right Ankle,1823224,1779734756063,-8.332459,2.6563683,3.2207394,-5.603362,-2.2937598,2.027619,39.40797,63.34079,266.51465,0.0
3b,3,Left Wrist,4581219,1779734756064,15.666012,-7.7787695,-3.8476589,-1.6342236,-12.270301,54.84922,-102.35905,-51.312035,335.36774,0.0
3b,1,Left Ankle,4781191,1779734756081,-9.34,-0.3,-2.74,0.25,-0.625,-0.0625,-0.50061035,0.45666504,-0.66101074,-0.3223877
3b,1,Left Ankle,4781201,1779734756081,-9.38,-0.29,-2.67,0.1875,0.125,-0.1875,-0.50061035,0.456604,-0.66101074,-0.32244873
3b,4,Right Wrist,30784176,1779734756082,6.323532,-2.105784,-2.6225336,-5.94496,4.2711115,5.403728,-140.66931,-62.617256,206.47015,0.0
3b,1,Left Ankle,4781221,1779734756111,-9.38,-0.29,-2.67,0.1875,-0.125,-0.1875,-0.5006714,0.456604,-0.6609497,-0.32244873
3b,1,Left Ankle,4781246,1779734756112,-9.37,-0.34,-2.63,0.0625,0.4375,-0.1875,-0.50079346,0.45654297,-0.6608887,-0.32250977
3b,2,Right Ankle,1823285,1779734756120,-8.34921,2.6802964,3.2733815,-5.463362,-2.36376,1.957619,39.379753,63.281948,266.49115,0.0
3b,3,Left Wrist,4581280,1779734756131,15.661226,-7.9055896,-3.87398,-0.30422366,-13.1103,56.66922,-102.42436,-51.352062,335.4188,0.0
3b,1,Left Ankle,4781266,1779734756139,-9.37,-0.33,-2.61,0.0,1.0,0.0,-0.50079346,0.45654297,-0.66082764,-0.32250977
3b,1,Left Ankle,4781285,1779734756139,-9.41,-0.28,-2.7,0.0,1.5625,-0.0625,-0.50079346,0.456604,-0.6608887,-0.32244873
3b,4,Right Wrist,30784237,1779734756139,6.1967125,-2.002893,-2.6632116,-3.91496,6.0911117,3.093728,-140.76306,-62.584076,206.55116,0.0
3b,1,Left Ankle,4781309,1779734756166,-9.39,-0.3,-2.74,-0.0625,-0.125,0.125,-0.50079346,0.456604,-0.6608887,-0.32244873
3b,2,Right Ankle,1823344,1779734756172,-8.344424,2.673118,3.2949166,-5.813362,-2.0837598,1.887619,39.31167,63.23401,266.43216,0.0
3b,3,Left Wrist,4581339,1779734756184,16.07279,-8.027624,-3.3690941,1.6557764,-11.010301,67.939224,-102.472824,-51.395885,335.45627,0.0
3b,1,Left Ankle,4781332,1779734756197,-9.34,-0.3,-2.74,0.0625,-0.1875,-0.0625,-0.50079346,0.45654297,-0.6608887,-0.32250977
3b,4,Right Wrist,30784296,1779734756199,6.218248,-2.0172493,-2.6799612,-2.02496,4.6911116,4.353728,-140.85207,-62.548244,206.62852,0.0
3b,1,Left Ankle,4781353,1779734756228,-9.37,-0.32,-2.66,0.125,0.375,-0.0625,-0.5008545,0.45654297,-0.66082764,-0.32250977
3b,1,Left Ankle,4781371,1779734756228,-9.36,-0.31,-2.61,-0.125,0.9375,0.125,-0.5008545,0.45654297,-0.66082764,-0.32250977
3b,2,Right Ankle,1823405,1779734756245,-8.320496,2.606119,3.347559,-5.8833623,-1.5237597,2.167619,39.19002,63.212505,266.3255,0.0
3b,3,Left Wrist,4581399,1779734756247,15.448264,-7.5035954,-3.0293133,-0.7242236,2.9196997,70.38922,-102.50943,-51.442265,335.48074,0.0
3b,1,Left Ankle,4781395,1779734756267,-9.39,-0.31,-2.67,-0.5625,0.5625,0.125,-0.5008545,0.45654297,-0.66082764,-0.32250977
3b,4,Right Wrist,30784357,1779734756267,6.318746,-2.1249266,-2.6991038,-3.42496,4.2711115,4.563728,-140.89656,-62.495583,206.66592,0.0
3b,1,Left Ankle,4781411,1779734756299,-9.36,-0.31,-2.73,-0.4375,-0.25,0.1875,-0.5009155,0.45654297,-0.6607666,-0.32250977
3b,3,Left Wrist,4581459,1779734756307,15.831117,-7.6687007,-3.6777685,0.9557764,11.109699,65.41922,-102.5569,-51.48511,335.5127,0.0
3b,2,Right Ankle,1823464,1779734756307,-8.334852,2.6348326,3.2733815,-5.813362,-2.2237597,2.027619,39.039894,63.224636,266.19333,0.0
3b,1,Left Ankle,4781436,1779734756316,-9.34,-0.32,-2.69,-0.5625,0.1875,0.3125,-0.50097656,0.45654297,-0.6607666,-0.32250977
3b,1,Left Ankle,4781453,1779734756319,-9.37,-0.29,-2.72,-0.6875,0.5,0.4375,-0.5009155,0.45654297,-0.66070557,-0.32263184
3b,1,Left Ankle,4781485,1779734756345,-9.4,-0.28,-2.78,-0.375,0.9375,0.3125,-0.5009155,0.45654297,-0.66070557,-0.32263184
3b,4,Right Wrist,30784416,1779734756348,6.2254257,-2.0890346,-2.912065,-3.7049599,5.951112,3.653728,-140.96486,-62.450676,206.72429,0.0
3b,2,Right Ankle,1823525,1779734756359,-8.37553,2.606119,3.330809,-5.743362,-1.1737598,3.007619,38.89838,63.22174,266.06903,0.0
3b,3,Left Wrist,4581519,1779734756359,19.008783,-10.556837,-7.501499,148.51578,-27.0403,92.22922,-102.59868,-51.479744,335.5873,0.0
3b,1,Left Ankle,4781504,1779734756376,-9.26,-0.3,-2.9,-0.1875,-0.0625,0.1875,-0.5009155,0.45654297,-0.66070557,-0.32263184
3b,1,Left Ankle,4781521,1779734756377,-9.31,-0.31,-2.93,0.5625,-2.1875,0.1875,-0.50109863,0.45648193,-0.6605835,-0.3227539
3b,1,Left Ankle,4781544,1779734756408,-9.28,-0.32,-2.84,0.5625,-2.8125,0.1875,-0.50146484,0.45629883,-0.66033936,-0.322937
3b,4,Right Wrist,30784476,1779734756409,6.1488557,-1.8210382,-2.8091736,-6.01496,5.4611115,1.0637279,-141.08815,-62.434418,206.83104,0.0
3b,2,Right Ankle,1823584,1779734756412,-8.260675,2.6826892,3.3403804,-4.063362,0.5762402,2.937619,38.88624,63.16112,266.05988,0.0
