session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
4a,1,Left Ankle,5330651,1779735305538,-8.84,-1.82,-3.84,0.75,-0.8125,-0.1875,-0.49560547,0.5028076,-0.6676636,-0.23620605
4a,2,Right Ankle,2372720,1779735305539,-8.641134,-0.32987434,3.8763728,-8.613362,-1.1737598,2.237619,-3.1950502,65.87278,229.00256,0.0
4a,4,Right Wrist,31333641,1779735305539,3.9666018,-3.8788657,-6.996613,-3.77496,5.8111115,1.4837279,-150.68,-25.921057,195.13742,0.0
4a,1,Left Ankle,5330670,1779735305538,-8.85,-1.86,-3.88,1.3125,-2.25,-0.0625,-0.49591064,0.5026245,-0.6675415,-0.23620605
4a,3,Left Wrist,5130715,1779735305540,16.450857,-8.5971155,-2.3425734,-20.114223,-3.1003008,51.06922,-95.66439,-57.710815,351.6865,0.0
4a,1,Left Ankle,5330687,1779735305565,-8.88,-1.76,-3.91,1.5625,-2.6875,0.0,-0.4963379,0.5023804,-0.66741943,-0.23626709
4a,4,Right Wrist,31333702,1779735305609,4.0766716,-4.091827,-7.0540414,-5.87496,2.4511118,-0.26627207,-150.629,-25.964619,195.1139,0.0
4a,3,Left Wrist,5130776,1779735305620,18.089941,-9.324533,-3.3571303,-7.0242233,-17.3103,65.909225,-95.76963,-57.720173,351.77542,0.0
4a,1,Left Ankle,5330709,1779735305628,-8.81,-1.79,-3.89,1.4375,-3.0625,0.0,-0.49682617,0.50219727,-0.6671753,-0.23632812
4a,1,Left Ankle,5330729,1779735305629,-8.81,-1.87,-3.83,1.625,-3.1875,-0.875,-0.49731445,0.5019531,-0.66693115,-0.23638916
4a,1,Left Ankle,5330749,1779735305628,-8.85,-1.85,-3.77,1.625,-3.0,-0.125,-0.49780273,0.501709,-0.66674805,-0.2364502
4a,2,Right Ankle,2372781,1779735305630,-8.557385,-0.16716242,3.8213377,-7.493362,-0.6837598,1.2576189,-3.0144792,65.884186,229.16995,0.0
4a,1,Left Ankle,5330777,1779735305647,-8.84,-1.83,-3.69,1.5625,-2.9375,0.3125,-0.49835205,0.50146484,-0.66656494,-0.23651123
4a,1,Left Ankle,5330797,1779735305648,-8.79,-1.81,-3.7,1.4375,-3.125,0.25,-0.49908447,0.5010376,-0.66619873,-0.2366333
4a,4,Right Wrist,31333761,1779735305659,3.7943187,-3.9027936,-6.922436,-9.234961,4.2711115,2.953728,-150.6245,-25.893969,195.10907,0.0
4a,3,Left Wrist,5130835,1779735305663,20.22673,-8.128122,-1.4763715,3.0557766,-13.390301,88.939224,-95.79471,-57.763363,351.79837,0.0
4a,1,Left Ankle,5330818,1779735305679,-8.95,-1.84,-3.64,1.625,-3.4375,0.4375,-0.49969482,0.5007324,-0.6659546,-0.23675537
4a,2,Right Ankle,2372871,1779735305687,-8.5980625,-0.2604825,3.8069808,-5.813362,-1.5937599,-0.9823811,-3.16731,65.91475,229.0322,0.0
4a,1,Left Ankle,5330838,1779735305706,-8.93,-1.9,-3.58,1.625,-3.8125,-0.1875,-0.5003662,0.50042725,-0.6656494,-0.23687744
4a,4,Right Wrist,31333822,1779735305718,3.8804603,-4.010471,-6.9104714,-8.53496,2.0311117,3.5837278,-150.55173,-25.895151,195.07469,0.0
4a,3,Left Wrist,5130896,1779735305720,17.400808,-7.8122697,-1.9836501,6.4857764,3.8996992,89.00922,-95.84333,-57.79881,351.83902,0.0
4a,1,Left Ankle,5330863,1779735305737,-8.89,-1.87,-3.23,0.6875,-3.4375,0.6875,-0.50097656,0.5001221,-0.66534424,-0.23718262
4a,1,Left Ankle,5330878,1779735305737,-9.21,-1.77,-3.39,0.0625,-0.5,0.75,-0.50109863,0.49993896,-0.6652832,-0.23736572
4a,2,Right Ankle,2372931,1779735305744,-8.495172,-0.26766098,3.8572302,-3.853362,-2.2237597,-0.91238093,-3.270252,65.86599,228.93933,0.0
4a,4,Right Wrist,31333881,1779735305770,3.6052854,-3.85733,-6.800402,-7.5549603,1.751112,-0.54627204,-150.54701,-25.824009,195.07137,0.0
4a,1,Left Ankle,5330899,1779735305770,-9.04,-1.8,-3.52,-0.5,0.25,0.3125,-0.50128174,0.49987793,-0.66522217,-0.2374878
4a,3,Left Wrist,5130956,1779735305794,15.450658,-6.9628167,-1.9214365,80.685776,16.919699,60.23922,-95.86711,-57.841675,351.8787,0.0
4a,1,Left Ankle,5330924,1779735305810,-8.8,-1.85,-3.77,-0.3125,1.5625,-0.3125,-0.50115967,0.49987793,-0.66522217,-0.23742676
4a,1,Left Ankle,5330945,1779735305810,-8.86,-1.85,-3.75,-0.875,1.1875,0.9375,-0.50097656,0.49993896,-0.6654053,-0.23742676
4a,2,Right Ankle,2372991,1779735305811,-8.437744,-0.46865803,3.9409788,0.7666378,-0.89375985,1.327619,-3.4069867,65.82725,228.81453,0.0
4a,1,Left Ankle,5330965,1779735305833,-9.0,-1.87,-3.67,-0.8125,1.0,1.25,-0.5007324,0.49987793,-0.66552734,-0.23754883
4a,4,Right Wrist,31333941,1779735305834,3.4018958,-3.4888358,-6.963114,-4.61496,2.7311115,-4.8862715,-150.60487,-25.783209,195.09677,0.0
4a,3,Left Wrist,5131015,1779735305843,16.67339,-9.515959,-2.2995026,188.62578,21.4697,37.839222,-95.88593,-57.855724,351.94565,0.0
4a,1,Left Ankle,5331002,1779735305860,-9.01,-1.82,-3.36,-0.9375,2.9375,1.6875,-0.5003662,0.49969482,-0.6658325,-0.237854
4a,1,Left Ankle,5330984,1779735305861,-8.94,-1.81,-3.49,-0.8125,0.75,1.625,-0.5006714,0.49975586,-0.6656494,-0.23773193
4a,2,Right Ankle,2373050,1779735305864,-8.523886,-0.28441072,3.8955152,-7.0733624,-1.3837599,3.917619,-3.4943795,65.77668,228.73763,0.0
4a,1,Left Ankle,5331026,1779735305891,-8.92,-1.86,-3.48,-1.625,5.875,0.6875,-0.49938965,0.5,-0.6664429,-0.23754883
