session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1a,1,None,3247783,1779733222678,-2.36,8.83,2.0,-0.5625,-2.0625,-1.5,0.08605957,0.21704102,-0.5874634,-0.7748413
1a,3,None,3047786,1779733222679,14.146568,-7.206885,6.4343,-2.9642234,-11.500301,47.91922,-77.37611,-57.75056,331.72266,0.0
1a,1,None,3247796,1779733222678,-2.31,9.09,2.0,0.5,-1.1875,-0.75,0.08581543,0.21697998,-0.58740234,-0.77490234
1a,2,None,289791,1779733222678,-8.681812,2.4649422,1.8161523,-7.843362,-0.123759866,3.217619,11.82739,70.84947,190.79263,0.0
1a,4,None,29250714,1779733222678,11.307782,-8.171589,-0.6149554,-2.02496,6.8611116,0.643728,-103.6317,-56.04644,208.49843,0.0
1a,1,None,3247821,1779733222725,-2.35,8.96,1.77,1.3125,-0.9375,0.0,0.085632324,0.21691895,-0.5876465,-0.7747803
1a,1,None,3247836,1779733222728,-2.41,8.8,1.97,2.25,-1.4375,0.375,0.08538818,0.21691895,-0.58795166,-0.77453613
1a,1,None,3247862,1779733222728,-2.34,8.71,2.17,2.75,-1.25,2.1875,0.08526611,0.21673584,-0.5883179,-0.774353
1a,4,None,29250775,1779733222728,12.894223,-6.6617184,-2.6129622,-24.00496,-41.578888,-12.3062725,-103.73823,-56.104614,208.5883,0.0
1a,3,None,3047846,1779733222731,14.29971,-7.154243,6.8889365,1.3057764,-8.910301,50.15922,-77.29107,-57.738575,331.6548,0.0
1a,1,None,3247876,1779733222808,-2.46,9.23,2.02,2.125,-0.9375,3.0,0.08538818,0.21643066,-0.5886841,-0.7741699
1a,2,None,289851,1779733222808,-8.76556,2.4362285,1.7587247,-7.563362,-3.6237597,1.187619,12.022173,70.87283,190.9792,0.0
1a,1,None,3247896,1779733222810,-2.4,9.03,1.88,2.8125,-0.1875,5.0625,0.0859375,0.21588135,-0.5892334,-0.77386475
1a,1,None,3247916,1779733222810,-2.58,8.9,1.71,2.9375,0.9375,7.5625,0.08673096,0.21533203,-0.58984375,-0.7734375
1a,3,None,3047906,1779733222811,14.984057,-6.6015015,6.879365,6.4157767,-7.8603005,48.059223,-77.203545,-57.73511,331.58606,0.0
1a,4,None,29250834,1779733222812,14.707983,-6.5707912,-3.091527,-3.91496,-33.73889,-46.53627,-103.832466,-56.17957,208.67397,0.0
1a,1,None,3247941,1779733222818,-2.24,9.06,1.66,2.4375,2.8125,9.25,0.088012695,0.21484375,-0.59051514,-0.7728882
1a,2,None,289912,1779733222822,-9.143627,2.4362285,1.8759729,-11.4133625,-9.293759,-1.122381,12.210797,70.89481,191.16084,0.0
1a,1,None,3247961,1779733222877,-2.22,9.02,1.65,0.125,1.3125,11.625,0.089660645,0.21398926,-0.5909424,-0.77264404
1a,4,None,29250895,1779733222877,16.258532,-6.5875406,-3.7950165,1.0550399,31.361113,-82.72627,-103.90222,-56.26959,208.73018,0.0
1a,1,None,3247979,1779733222879,-2.37,9.16,1.81,-1.8125,0.3125,14.125,0.0914917,0.21264648,-0.59124756,-0.772583
1a,3,None,3047965,1779733222878,15.878972,-7.326526,7.1856465,-2.4742236,-18.9203,43.719223,-77.124146,-57.732018,331.52344,0.0
1a,2,None,290001,1779733222908,-8.73924,2.2208745,2.053042,-14.9133625,-5.02376,-3.0823812,12.407127,70.913414,191.35081,0.0
1a,1,None,3247998,1779733222908,-2.29,8.97,1.71,-2.5,2.9375,15.0625,0.093566895,0.21173096,-0.5916748,-0.77227783
1a,1,None,3248024,1779733222912,-2.1,8.9,2.0,-3.125,3.8125,18.1875,0.09765625,0.2098999,-0.59191895,-0.7720337
1a,3,None,3048026,1779733222913,14.661025,-7.254742,6.5970116,30.355776,-19.6903,36.649223,-77.03256,-57.7275,331.46005,0.0
1a,4,None,29250955,1779733222912,19.795124,-6.3793654,-1.942972,-186.75496,108.151115,-133.19627,-103.93773,-56.39636,208.69135,0.0
1a,1,None,3248042,1779733222915,-2.21,8.94,1.91,-4.25,4.25,20.4375,0.09918213,0.20922852,-0.59198,-0.77197266
1a,1,None,3248063,1779733222950,-1.95,9.17,1.7,-5.1875,4.625,22.375,0.10253906,0.20770264,-0.59210205,-0.7718506
1a,2,None,290061,1779733222952,-8.631562,2.161054,2.1750758,-13.863362,-0.053759813,-4.902381,12.61023,70.92953,191.5468,0.0
1a,1,None,3248098,1779733222988,-1.86,9.0,2.04,-4.875,3.8125,23.9375,0.10992432,0.2041626,-0.5923462,-0.77160645
1a,1,None,3248083,1779733222987,-1.78,9.27,1.95,-4.625,5.25,23.375,0.10620117,0.20605469,-0.5922241,-0.7717285
1a,4,None,29251015,1779733223006,19.713768,-4.958029,2.2037897,-319.12497,78.471115,-109.956276,-103.979225,-56.493595,208.62352,0.0
1a,3,None,3048085,1779733223012,15.362123,-9.326926,7.4679995,34.695778,-30.8903,35.80922,-76.948296,-57.709076,331.40616,0.0
1a,2,None,290122,1779733223036,-8.940237,2.1084118,1.9094725,-13.443362,3.5862403,-5.322381,12.790181,70.95832,191.72081,0.0
1a,1,None,3248123,1779733223036,-1.7,8.97,1.84,-5.4375,5.4375,24.1875,0.11376953,0.20227051,-0.5924072,-0.7714844
1a,1,None,3248138,1779733223038,-1.63,9.61,1.55,-6.0625,7.1875,25.75,0.11791992,0.20056152,-0.5925293,-0.77124023
1a,4,None,29251075,1779733223039,14.040385,0.8565303,6.2428746,-224.13496,-43.398888,-82.51627,-104.044334,-56.559963,208.62453,0.0
1a,3,None,3048146,1779733223070,15.943579,-9.204892,6.719046,-6.0442233,-45.8003,49.73922,-76.885704,-57.691788,331.3619,0.0
1a,1,None,3248163,1779733223071,-1.52,9.39,2.01,-4.3125,7.1875,23.75,0.12188721,0.19903564,-0.59265137,-0.77093506
1a,1,None,3248182,1779733223072,-1.47,9.24,2.19,-2.8125,6.375,24.75,0.12591553,0.19732666,-0.5928955,-0.7705078
1a,2,None,290181,1779733223073,-8.901952,2.0198774,2.07697,-11.483362,0.5762402,-2.802381,12.979983,70.98265,191.90373,0.0
1a,1,None,3248200,1779733223103,-1.54,8.81,2.18,3.5,5.6875,23.875,0.12963867,0.19573975,-0.59368896,-0.7696533
1a,4,None,29251135,1779733223108,3.6818562,-3.658726,12.366108,-222.66496,-133.4189,-24.206272,-104.1292,-56.561165,208.65651,0.0
1a,1,None,3248240,1779733223128,-0.93,9.08,2.71,13.75,-2.3125,21.375,0.1350708,0.19195557,-0.5975952,-0.76672363
1a,1,None,3248228,1779733223128,-1.06,9.2,2.36,6.5,3.5625,23.625,0.1329956,0.1940918,-0.59503174,-0.76849365
1a,3,None,3048206,1779733223131,15.4698,-6.5105734,5.9748783,-12.274223,-66.030304,47.70922,-76.836266,-57.701447,331.3305,0.0
1a,4,None,29251195,1779733223149,-5.2912292,-2.3307092,8.889336,-57.464962,-96.388885,11.073728,-104.15069,-56.540855,208.67513,0.0
1a,1,None,3248269,1779733223148,-0.82,9.48,2.36,20.3125,-10.9375,18.75,0.13549805,0.18737793,-0.6032715,-0.76330566
1a,2,None,290242,1779733223172,-8.968951,2.024663,1.9453648,-10.573362,-0.40375984,-6.092381,13.157391,71.010666,192.07428,0.0
1a,3,None,3048266,1779733223172,14.783059,-6.7498555,6.9798636,3.7557764,-52.8003,29.649221,-76.77146,-57.705257,331.2877,0.0
1a,1,None,3248287,1779733223194,-1.08,9.17,1.72,32.5625,-24.625,15.3125,0.13409424,0.18359375,-0.6083374,-0.760437
1a,1,None,3248306,1779733223194,-1.14,9.09,1.71,34.3125,-26.6875,15.625,0.13214111,0.17913818,-0.61395264,-0.7573242
1a,1,None,3248329,1779733223217,-1.09,9.16,1.6,36.0,-31.375,16.1875,0.12988281,0.1741333,-0.619751,-0.7541504
1a,2,None,290301,1779733223218,-8.904345,2.0773053,1.942972,-6.583362,2.53624,-15.402382,13.3323,71.038765,192.24022,0.0
1a,4,None,29251255,1779733223217,-6.1000032,-3.5342994,1.5840486,71.12504,-19.178888,-33.796272,-104.11755,-56.520184,208.6734,0.0
1a,1,None,3248347,1779733223237,-1.25,9.14,1.41,36.0,-30.1875,18.25,0.12786865,0.16912842,-0.6254883,-0.7508545
1a,1,None,3248368,1779733223239,-0.97,8.95,1.3,35.125,-26.8125,19.625,0.12640381,0.16436768,-0.6311035,-0.7474365
1a,3,None,3048326,1779733223260,14.306889,-7.8170547,7.051648,-8.494224,-28.7203,33.219223,-76.69926,-57.694744,331.23077,0.0
1a,1,None,3248385,1779733223277,-1.19,9.02,1.24,33.25,-24.8125,21.75,0.12542725,0.1595459,-0.6364746,-0.7440796
1a,4,None,29251315,1779733223278,-0.96500576,-6.3315086,-4.1850467,240.87505,14.631111,-63.966274,-104.082726,-56.473835,208.71477,0.0
1a,2,None,290391,1779733223277,-8.741632,1.7518812,1.4045868,-10.783361,0.15624017,-26.60238,13.44814,71.08085,192.35042,0.0
1a,1,None,3248409,1779733223296,-0.96,9.01,1.35,32.3125,-23.5,22.4375,0.124694824,0.15533447,-0.6413574,-0.7409668
1a,1,None,3248425,1779733223297,-0.41,9.42,1.01,30.5625,-18.125,23.75,0.12475586,0.15118408,-0.6460571,-0.7376709
1a,3,None,3048386,1779733223317,15.721046,-6.273684,5.611169,10.895777,-35.2303,42.039223,-76.62598,-57.710052,331.18027,0.0
1a,1,None,3248448,1779733223333,-0.09,9.89,0.55,27.375,-22.5625,24.3125,0.124694824,0.14648438,-0.65063477,-0.73461914
1a,2,None,290452,1779733223334,-8.767954,1.0818911,1.308874,-10.013362,5.47624,-25.132381,13.5045,71.135315,192.40442,0.0
1a,1,None,3248485,1779733223373,-0.85,9.32,0.42,22.6875,-20.875,26.4375,0.12463379,0.13659668,-0.6589966,-0.72906494
1a,3,None,3048476,1779733223374,14.404994,-3.8449693,2.7565317,72.005775,-48.460304,34.54922,-76.576515,-57.76739,331.16998,0.0
1a,4,None,29251375,1779733223373,4.835196,-1.579363,-4.7377887,10.43504,-55.15889,-59.34627,-104.23385,-56.495884,208.85689,0.0
1a,1,None,3248465,1779733223373,-0.42,9.66,0.26,26.3125,-22.625,23.25,0.12445068,0.14160156,-0.6550293,-0.73168945
1a,1,None,3248507,1779733223375,-0.99,8.92,0.59,19.0,-15.0,30.3125,0.12597656,0.13171387,-0.6624756,-0.72662354
1a,2,None,290511,1779733223400,-8.751204,0.9120006,1.6438692,-9.733362,15.48624,-19.18238,13.557785,71.193665,192.45638,0.0
1a,1,None,3248532,1779733223416,-0.24,8.73,0.28,15.5625,-15.6875,32.5625,0.12786865,0.12664795,-0.66552734,-0.72436523
1a,1,None,3248546,1779733223416,-0.58,9.06,0.45,10.0625,-21.0625,36.25,0.13049316,0.121154785,-0.6679077,-0.7225952
1a,4,None,29251435,1779733223417,16.926128,-11.076476,2.0147567,41.585037,-44.51889,-40.726273,-104.15754,-56.514324,208.81561,0.0
1a,3,None,3048536,1779733223433,16.192432,-6.300005,4.599005,22.445776,-45.7303,39.16922,-76.51013,-57.797565,331.13043,0.0
1a,1,None,3248571,1779733223452,0.09,9.15,-0.11,8.3125,-17.75,36.0,0.13256836,0.11505127,-0.670105,-0.7211914
1a,2,None,290571,1779733223453,-9.1508045,0.5841839,1.5888343,-9.103362,7.1562405,-11.342381,13.569974,71.25279,192.46988,0.0
