session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
4b,1,Left Ankle,2730548,1779739140996,1.39,9.3,2.67,0.25,-0.5625,0.875,0.79711914,0.5991211,-0.03894043,0.06414795
4b,1,Left Ankle,2730566,1779739140997,1.41,9.29,2.64,0.25,0.125,0.5625,0.79711914,0.5991211,-0.039001465,0.064208984
4b,2,Right Ankle,2458955,1779739141020,-1.3922826,-4.4746,1.308874,0.18717945,-0.52065754,-0.5268202,-52.16029,21.933537,174.24849,0.0
4b,3,Left Wrist,8966289,1779739141020,7.906088,6.6116652,5.3359947,1.1657764,-10.9403,46.93922,76.05738,-45.75503,354.52985,0.0
4b,4,Right Wrist,35169210,1779739141020,-1.5081766,-6.0276203,-7.5589266,-9.79496,10.711112,9.603728,-145.5592,9.88468,130.2252,0.0
4b,1,Left Ankle,2730616,1779739141062,1.4,9.32,2.62,0.1875,0.125,0.5,0.79711914,0.5991211,-0.0390625,0.06427002
4b,1,Left Ankle,2730586,1779739141063,1.38,9.33,2.67,0.375,0.25,0.625,0.79711914,0.5991211,-0.0390625,0.06427002
4b,2,Right Ankle,2459014,1779739141071,-1.3898896,-4.4937425,1.361516,0.04717946,-0.38065767,-0.3868202,-52.227203,21.920465,174.22351,0.0
4b,3,Left Wrist,8966348,1779739141071,7.6787696,6.8461623,5.4843493,3.1957765,-6.5303006,47.359222,75.98468,-45.766838,354.58395,0.0
4b,4,Right Wrist,35169270,1779739141069,-1.6493529,-1.9909283,-8.841479,-17.70496,0.91111183,-5.166272,-145.64009,9.887346,130.21365,0.0
4b,1,Left Ankle,2730632,1779739141081,1.38,9.3,2.64,0.3125,-0.0625,0.125,0.79711914,0.5991211,-0.0390625,0.06427002
4b,1,Left Ankle,2730652,1779739141081,1.38,9.34,2.63,0.4375,-0.3125,0.0625,0.79711914,0.5991211,-0.0390625,0.06427002
