session_name,device_id,body_location,device_ts_ms,wall_clock_ms,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
2c,2,Right Ankle,1519885,1779734452744,-8.543029,2.3429084,2.818745,-6.303362,-1.3137599,2.657619,40.13463,66.947075,259.6012,0.0
2c,3,Left Wrist,4277880,1779734452746,15.132412,-8.589936,-4.536792,-5.9742236,-6.9503007,44.97922,-108.48253,-57.31528,333.93924,0.0
2c,1,Left Ankle,4477892,1779734452765,-9.27,-1.46,-2.39,0.0,0.0625,-0.125,-0.54211426,0.47375488,-0.63171387,-0.28741455
2c,1,Left Ankle,4477872,1779734452765,-9.3,-1.45,-2.35,0.3125,0.1875,-0.25,-0.54211426,0.47375488,-0.63171387,-0.28741455
2c,4,Right Wrist,30480838,1779734452766,3.6627133,-4.618248,-7.6091757,-1.81496,6.0911117,2.8137279,-148.12506,-22.242416,219.05865,0.0
2c,1,Left Ankle,4477915,1779734452781,-9.35,-1.43,-2.47,0.3125,-0.25,0.0625,-0.5421753,0.47375488,-0.63165283,-0.2874756
2c,2,Right Ankle,1519946,1779734452806,-8.574135,2.3835864,2.778067,-6.163362,-0.89375985,2.3076189,40.304012,66.92362,259.7592,0.0
2c,3,Left Wrist,4277941,1779734452806,18.884357,-9.456138,-2.5866413,-3.5242233,-13.1103,56.52922,-108.44805,-57.358467,333.90817,0.0
2c,1,Left Ankle,4477952,1779734452813,-9.32,-1.47,-2.37,1.125,-1.625,-0.3125,-0.5426636,0.47338867,-0.6314697,-0.2874756
2c,1,Left Ankle,4477933,1779734452812,-9.28,-1.44,-2.44,0.9375,-1.25,-0.125,-0.5423584,0.47357178,-0.6315918,-0.2874756
2c,4,Right Wrist,30480898,1779734452817,3.6387851,-4.6613183,-7.6354966,-4.40496,4.411112,3.653728,-148.19426,-22.227407,219.0825,0.0
2c,1,Left Ankle,4477973,1779734452846,-9.38,-1.44,-2.26,1.3125,-2.1875,-0.3125,-0.5430298,0.47314453,-0.63134766,-0.28753662
2c,2,Right Ankle,1520005,1779734452846,-8.631562,2.3357298,2.8019955,-5.3233624,-1.6637598,2.167619,40.15707,66.97236,259.6258,0.0
2c,3,Left Wrist,4278000,1779734452849,17.95355,-7.1374927,-3.9864426,5.2257767,-34.180298,68.70922,-108.51662,-57.398617,333.96945,0.0
2c,1,Left Ankle,4477988,1779734452872,-9.34,-1.49,-2.2,1.1875,-2.4375,-0.1875,-0.5432129,0.47302246,-0.6312256,-0.28759766
2c,4,Right Wrist,30480958,1779734452874,3.7177482,-5.0489564,-7.678568,-3.35496,0.6311121,3.513728,-148.12253,-22.21766,219.05386,0.0
2c,1,Left Ankle,4478014,1779734452903,-9.39,-1.42,-2.14,1.0,-2.4375,0.0625,-0.5438843,0.47265625,-0.6308594,-0.28778076
2c,1,Left Ankle,4478032,1779734452904,-9.35,-1.49,-2.07,0.5,-1.9375,-0.125,-0.5443115,0.4724121,-0.63061523,-0.28796387
2c,2,Right Ankle,1520066,1779734452906,-8.528671,2.3189802,2.8115666,-5.183362,-2.36376,2.167619,40.022034,66.948364,259.5032,0.0
2c,3,Left Wrist,4278060,1779734452908,17.30031,-6.3215413,-2.7182467,55.485775,-34.880302,36.719223,-108.53071,-57.45541,334.00168,0.0
2c,1,Left Ankle,4478048,1779734452927,-9.27,-1.54,-2.15,0.25,-1.5625,0.0625,-0.5444336,0.47235107,-0.63049316,-0.2880249
2c,1,Left Ankle,4478073,1779734452927,-9.44,-1.44,-2.27,-0.0625,-1.3125,0.5,-0.54473877,0.472229,-0.630249,-0.288208
2c,4,Right Wrist,30481018,1779734452932,3.6555347,-4.57757,-7.56132,-2.5149598,1.0511112,5.683728,-148.194,-22.243122,219.07883,0.0
2c,1,Left Ankle,4478093,1779734452959,-9.35,-1.48,-2.23,0.25,-1.5,0.125,-0.5449219,0.47216797,-0.6300659,-0.2883911
2c,2,Right Ankle,1520125,1779734452971,-8.550207,2.3118017,2.8091736,-4.273362,-2.6437597,2.3076189,39.857624,66.94765,259.3533,0.0
2c,3,Left Wrist,4278121,1779734452971,14.828524,-4.333105,-3.208775,58.775776,-29.3503,-23.550777,-108.58798,-57.52877,334.0739,0.0
2c,1,Left Ankle,4478111,1779734452997,-9.4,-1.51,-2.06,0.3125,-1.5625,0.125,-0.54522705,0.47198486,-0.6298218,-0.28857422
2c,4,Right Wrist,30481079,1779734452997,3.4904299,-4.778567,-7.7240314,-1.53496,-0.4188881,1.623728,-148.19807,-22.17094,219.07979,0.0
2c,1,Left Ankle,4478133,1779734452997,-9.42,-1.52,-1.98,-0.3125,-0.3125,0.3125,-0.5454712,0.4718628,-0.6296387,-0.2886963
2c,2,Right Ankle,1520186,1779734453037,-8.583707,2.3285515,2.8833513,-4.763362,-2.5037599,2.727619,39.74725,66.91177,259.25336,0.0
2c,3,Left Wrist,4278180,1779734453037,12.512271,-6.802499,-3.6083765,107.49577,-38.7303,-82.14078,-108.69165,-57.56562,334.2048,0.0
2c,1,Left Ankle,4478155,1779734453037,-9.3,-1.48,-2.12,-0.5,0.1875,0.5,-0.54559326,0.47180176,-0.62957764,-0.28875732
2c,1,Left Ankle,4478174,1779734453053,-9.4,-1.45,-2.25,-0.75,1.3125,0.5,-0.5454712,0.47192383,-0.6296387,-0.2886963
2c,1,Left Ankle,4478192,1779734453053,-9.36,-1.43,-2.28,-0.6875,0.5625,0.4375,-0.54541016,0.47198486,-0.62957764,-0.28875732
2c,4,Right Wrist,30481138,1779734453053,3.2128627,-4.4507504,-7.60439,-4.89496,0.7011118,-3.626272,-148.23946,-22.115337,219.09563,0.0
2c,1,Left Ankle,4478218,1779734453075,-9.36,-1.44,-2.2,-0.4375,0.5,0.3125,-0.54541016,0.47192383,-0.6296387,-0.28875732
2c,2,Right Ankle,1520246,1779734453083,-8.574135,2.3189802,2.8091736,-6.093362,-1.1737598,3.007619,39.599773,66.95997,259.11984,0.0
2c,3,Left Wrist,4278241,1779734453096,13.182261,-9.006288,-2.952743,217.18578,-42.6503,-63.52078,-108.635864,-57.507347,334.2331,0.0
2c,4,Right Wrist,30481198,1779734453114,2.964009,-4.6206408,-7.7359953,-0.83496,3.5711117,-11.186272,-148.25743,-22.049091,219.10474,0.0
2c,1,Left Ankle,4478235,1779734453114,-9.35,-1.48,-2.1,-0.3125,0.9375,0.375,-0.54541016,0.47192383,-0.62957764,-0.28875732
2c,1,Left Ankle,4478257,1779734453135,-9.36,-1.48,-2.06,-0.75,1.875,0.4375,-0.5453491,0.47198486,-0.6296387,-0.28875732
2c,1,Left Ankle,4478274,1779734453143,-9.33,-1.5,-2.18,-0.6875,2.1875,0.5625,-0.545166,0.47210693,-0.6296997,-0.2886963
2c,2,Right Ankle,1520305,1779734453143,-8.624384,2.3572655,2.885744,-7.353362,1.0662402,4.617619,39.54402,66.90768,259.07147,0.0
2c,3,Left Wrist,4278300,1779734453151,13.057835,-7.273884,2.251646,311.40576,-40.9003,-31.040775,-108.468925,-57.531464,334.19315,0.0
2c,4,Right Wrist,30481258,1779734453168,2.8156543,-4.713961,-7.972885,4.41504,2.1011114,-15.526272,-148.27377,-21.98258,219.11536,0.0
2c,1,Left Ankle,4478294,1779734453168,-9.24,-1.56,-2.18,-0.75,2.75,1.25,-0.54486084,0.47216797,-0.62994385,-0.2886963
2c,1,Left Ankle,4478317,1779734453196,-9.5,-1.42,-2.1,-0.8125,3.8125,0.9375,-0.54455566,0.472229,-0.630249,-0.28863525
2c,1,Left Ankle,4478332,1779734453198,-9.25,-1.46,-2.24,-1.1875,4.0625,0.6875,-0.5440674,0.47235107,-0.6305542,-0.28857422
2c,2,Right Ankle,1520366,1779734453202,-8.595671,2.388372,2.821138,-7.563362,3.5862403,6.297619,39.708084,66.86736,259.22577,0.0
2c,3,Left Wrist,4278361,1779734453213,15.902901,-16.206291,3.6658041,66.12577,35.679703,-15.0107765,-108.33865,-57.5207,334.09726,0.0
2c,1,Left Ankle,4478357,1779734453228,-9.38,-1.44,-2.36,-1.3125,4.1875,0.8125,-0.54351807,0.4725952,-0.6309204,-0.28845215
2c,1,Left Ankle,4478383,1779734453257,-9.31,-1.48,-2.45,-0.875,3.5625,0.3125,-0.54296875,0.47283936,-0.6312866,-0.28826904
2c,1,Left Ankle,4478392,1779734453258,-9.2,-1.5,-2.43,-0.375,2.375,0.375,-0.5426636,0.47302246,-0.6314697,-0.28808594
2c,4,Right Wrist,30481318,1779734453259,2.6242282,-5.6040907,-7.941778,0.0050401688,-2.7988882,-14.266272,-148.23972,-21.916662,219.10703,0.0
2c,2,Right Ankle,1520425,1779734453263,-8.545421,2.3955505,2.928815,-5.183362,5.8262405,6.297619,39.680176,66.81104,259.20297,0.0
2c,3,Left Wrist,4278420,1779734453267,20.348764,-8.91536,-1.1318051,-161.37422,3.7596989,34.129223,-108.33732,-57.563686,334.04593,0.0
2c,1,Left Ankle,4478413,1779734453286,-9.45,-1.39,-2.33,0.4375,1.875,0.8125,-0.54241943,0.47302246,-0.63171387,-0.2880249
2c,1,Left Ankle,4478453,1779734453318,-9.29,-1.54,-2.14,-0.25,2.0625,0.0625,-0.54211426,0.4730835,-0.6320801,-0.28778076
2c,1,Left Ankle,4478438,1779734453318,-9.42,-1.38,-2.21,0.4375,1.9375,0.4375,-0.5422363,0.47302246,-0.631958,-0.28790283
2c,4,Right Wrist,30481409,1779734453319,2.9305096,-6.771788,-7.3028946,-56.27496,3.3611116,16.463728,-148.19211,-21.885298,219.07681,0.0
2c,2,Right Ankle,1520486,1779734453327,-8.5262785,2.388372,2.562713,-5.3233624,5.1262403,6.087619,39.800365,66.84307,259.31625,0.0
2c,3,Left Wrist,4278481,1779734453330,17.032314,-9.044573,1.361516,27.835777,-6.9503007,59.18922,-108.23783,-57.567528,333.9679,0.0
2c,1,Left Ankle,4478478,1779734453350,-9.33,-1.53,-2.09,-0.25,2.8125,0.5,-0.5420532,0.47314453,-0.6321411,-0.2876587
2c,1,Left Ankle,4478497,1779734453376,-9.17,-1.57,-2.13,0.125,3.5625,1.5625,-0.5418701,0.47314453,-0.6323242,-0.2874756
2c,1,Left Ankle,4478522,1779734453377,-9.43,-1.44,-2.24,-0.4375,4.375,2.75,-0.5415039,0.47302246,-0.63275146,-0.28741455
2c,4,Right Wrist,30481468,1779734453386,2.7654047,-3.749653,-7.707282,-80.634964,-11.0588875,51.46373,-148.27446,-21.833921,219.08472,0.0
2c,2,Right Ankle,1520545,1779734453387,-8.602849,2.42905,2.713461,-5.463362,1.3462402,7.697619,39.948273,66.85773,259.45496,0.0
2c,3,Left Wrist,4278541,1779734453388,17.417559,-0.59790903,-2.912065,-151.92422,-14.650301,58.27922,-108.33,-57.616295,334.00015,0.0
2c,1,Left Ankle,4478537,1779734453410,-9.42,-1.39,-2.42,-0.25,5.875,2.6875,-0.5408325,0.47296143,-0.6334839,-0.28723145
2c,1,Left Ankle,4478562,1779734453436,-9.23,-1.4,-2.49,-0.6875,5.3125,2.375,-0.5397339,0.47302246,-0.6345215,-0.2869873
2c,4,Right Wrist,30481528,1779734453443,3.466502,-5.5586267,-9.245867,-67.61496,-74.40889,71.41373,-148.30788,-21.728056,219.08134,0.0
2c,2,Right Ankle,1520606,1779734453443,-8.478422,2.3692296,2.833102,-8.403362,2.4662402,7.067619,39.9442,66.79582,259.45483,0.0
2c,3,Left Wrist,4278600,1779734453448,13.802002,-7.8481617,-0.2512464,179.80577,-7.8603005,60.589222,-108.173035,-57.617092,333.91843,0.0
2c,1,Left Ankle,4478587,1779734453469,-9.43,-1.3,-2.54,-0.875,4.75,1.9375,-0.5390625,0.4730835,-0.6350708,-0.28686523
2c,1,Left Ankle,4478605,1779734453470,-9.45,-1.28,-2.59,-0.3125,4.625,0.875,-0.5383911,0.47320557,-0.6356201,-0.28668213
2c,1,Left Ankle,4478624,1779734453496,-9.19,-1.38,-2.65,0.5,4.0,0.125,-0.53790283,0.4734497,-0.63604736,-0.28631592
2c,1,Left Ankle,4478645,1779734453502,-9.22,-1.45,-2.54,1.1875,2.875,0.0,-0.53759766,0.47351074,-0.6364136,-0.2859497
2c,4,Right Wrist,30481588,1779734453502,4.3925242,-4.4005013,-7.3316083,-115.84496,-107.65889,80.723724,-148.35562,-21.752445,219.08011,0.0
2c,2,Right Ankle,1520666,1779734453502,-8.4856,2.4888706,2.6249266,-7.703362,1.9762402,11.687618,40.10554,66.80055,259.60706,0.0
2c,3,Left Wrist,4278661,1779734453511,14.893129,-14.069501,4.7545385,-62.044224,33.789696,46.09922,-108.07809,-57.594143,333.81128,0.0
2c,1,Left Ankle,4478672,1779734453525,-9.24,-1.44,-2.47,1.75,2.0,0.9375,-0.5374756,0.4734497,-0.63671875,-0.28564453
2c,1,Left Ankle,4478690,1779734453561,-9.23,-1.38,-2.39,2.1875,2.0,1.8125,-0.5373535,0.47314453,-0.637146,-0.2854004
2c,4,Right Wrist,30481648,1779734453561,2.9472594,-2.514957,-4.9770713,-163.72496,-95.26888,36.483727,-148.46169,-21.779402,219.1044,0.0
2c,2,Right Ankle,1520726,1779734453564,-8.4138155,2.7090104,2.7900312,-9.033362,5.1962404,13.157619,40.254654,66.74785,259.7488,0.0
2c,3,Left Wrist,4278720,1779734453568,19.042284,-7.2786703,1.0935199,-145.69423,56.539696,62.61922,-108.0288,-57.624645,333.713,0.0
2c,1,Left Ankle,4478711,1779734453587,-9.07,-1.55,-2.25,2.25,2.0625,2.75,-0.5372925,0.47277832,-0.63757324,-0.28515625
2c,1,Left Ankle,4478735,1779734453618,-9.47,-1.34,-2.29,1.9375,3.25,3.3125,-0.5369873,0.47210693,-0.6383667,-0.28497314
2c,1,Left Ankle,4478752,1779734453619,-9.33,-1.42,-2.21,1.25,4.0,2.4375,-0.53674316,0.4718628,-0.638855,-0.28485107
2c,4,Right Wrist,30481708,1779734453620,1.4804591,1.2274177,0.41156548,-312.61496,-65.028885,-26.376272,-148.59311,-21.792782,219.131,0.0
2c,2,Right Ankle,1520786,1779734453624,-8.736847,2.8884718,2.4382863,-10.363362,12.96624,12.807619,40.42627,66.75079,259.91232,0.0
2c,3,Left Wrist,4278781,1779734453629,16.723639,-5.180164,1.8185452,-68.34423,67.4597,57.719223,-107.95243,-57.659267,333.613,0.0
2c,1,Left Ankle,4478788,1779734453652,-9.59,-1.3,-2.38,1.25,4.625,2.75,-0.5361328,0.47143555,-0.63983154,-0.2845459
2c,1,Left Ankle,4478774,1779734453652,-9.24,-1.39,-2.38,1.3125,4.375,2.75,-0.5363159,0.47155762,-0.63952637,-0.28460693
