p_ax_mean,p_ax_std,p_ax_max,p_ax_min,p_ay_mean,p_ay_std,p_ay_max,p_ay_min,p_az_mean,p_az_std,p_az_max,p_az_min,p_gx_mean,p_gx_std,p_gx_max,p_gy_mean,p_gy_std,p_gy_max,p_gz_mean,p_gz_std,p_gz_max,p_mag_mean,p_mag_std,p_mag_max,p_gyro_mean,p_gyro_std,p_gyro_max,p_dyn_mean,p_dyn_max,p_jerk_max,p_jerk_mean,p_jerk_x_max,p_jerk_y_max,p_jerk_z_max,p_jerk_min_dyn,p_jerk_max_dyn,p_decel_ratio,p_rise_time_ms,p_fall_time_ms,p_symmetry,p_impulse,p_angle_x,p_angle_y,p_angle_z,p_total_angle,p_qw_mean,p_qx_mean,p_qy_mean,p_qz_mean,p_qw_std,p_qx_std,p_qy_std,p_qz_std,p_dom_freq,p_energy_low,p_energy_mid,p_energy_high,label,side,group,bag,label_side,limb_type,contact,source
14.843905749999996,2.828424503896059,19.642881,8.614363,-9.31615842142857,2.8292350512525535,-5.9195466,-14.308783,3.3998590695714292,5.055625349678285,16.141981,-6.108876,1.3957747857142866,67.2247421663972,120.44577,-15.900300785714283,85.72785561301369,232.77031,61.28922254285715,42.808077154644685,151.72922,18.756774663016895,2.904943270974047,24.750033972619534,114.06133419164111,68.5719421606357,284.67333294283446,8.946774663016898,14.940033972619533,279.5593063316785,125.19159400356156,92.88136666666666,107.07879333333335,246.42084166666672,-193.62441387440654,74.97823138081947,2.582408356747798,180.0,60.0,2.9999999500000007,6.937222890511727,48.080953410000006,49.526400869999996,49.716087096,147.323441376,-75.67236007142857,-57.859380071428575,330.4482714285714,0.0,0.12151062557915432,0.08079214576612509,0.1506191144129042,0.0,0.0,69520.34777606394,40.694577969950885,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
12.986049872727273,5.237925977041945,24.751558,4.469994,-6.8194652636363635,4.760599328338387,2.383548,-14.847167,1.4537484545454544,2.7140107501194968,6.3170514,-4.0941195,18.67213808181818,146.8689273990128,326.15424,25.917880454545454,77.24637703338462,157.89969,51.591039499999994,80.28738630654692,191.69922,16.109159133424058,3.9007695676273095,25.20084798128722,168.8892645855574,95.61373296916994,381.0462139776172,6.676426288641138,15.390847981287221,241.76450272823465,113.87826737378403,173.95818333333332,181.57534166666667,81.23632583333334,-154.44232991506445,149.00997391919606,1.0364563177653994,60.0,60.0,0.9999999833333336,4.05873817506882,62.69372663400001,41.2494177,48.312020024999995,152.255164359,-75.08702136363637,-56.98765863636363,329.8113109090909,0.0,0.10649661411798686,0.09864333387630166,0.14784309640195326,0.0,0.0,32042.45154044059,5.208561654826095,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
13.254217285714285,3.151776910166831,17.429522,7.23849,-9.138918414285714,6.030169146116345,3.7570283,-23.310581,1.6043875378571428,5.41675289488729,12.260822,-6.130411,-93.20422608571425,138.4344090930442,441.02423,28.519698925,61.352436323380914,157.47969,104.93421957142857,102.5945429544868,325.7492,17.837660370709127,4.384505337807957,28.05561186073093,174.07320839966096,153.83093593070745,557.9687910420437,8.027660370709127,18.245611860730932,320.19684998782344,120.10178889124167,144.08783333333335,291.2065216666667,109.11270833333334,-197.84139585236306,117.63680972946368,1.6817983641816898,180.0,120.0,1.4999999875,6.454063758154235,88.18012885499999,36.788136159,86.74379114999998,211.712056164,-73.98214178571428,-56.707684500000006,329.0581000000001,0.0,0.26550590822110154,0.24054845716545056,0.110808311317981,0.0,0.0,64050.065364322625,173.95545313340787,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
11.541705476923076,1.874965874641316,14.495921,7.5495567,-9.878747899999999,3.522672071799134,-5.7568345,-19.762026,-4.105715542307693,2.1152170649800763,-0.808774,-7.482356,1.2896207384615388,94.70121111364378,169.23578,-27.384915661538457,38.25719547385292,100.7503,39.384605769230774,21.161856426736296,90.689224,16.126827979306906,2.8252085969831278,22.951404702125053,106.43332493646629,43.06329993563284,173.66711918847415,6.316827979306908,13.141404702125053,208.91162632249683,85.48304765205155,85.06483333333334,199.48165666666665,86.89934083333334,-91.13633443451162,129.9812692934586,0.701149744334343,60.0,120.0,0.4999999958333334,4.665129529741657,56.63845299599999,27.769980215999997,28.24803924,112.65647245199999,-75.60634499999999,-56.40040138461537,330.34583076923076,0.0,0.4857361696437225,0.059801263744735655,0.4214387372663281,0.0,0.0,44419.193364664854,90.99924121352755,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
12.888969928571427,3.464302377082773,18.70011,8.071193,-10.273287257142856,2.2036803918253276,-7.424632,-16.012472,1.5478144785714285,5.264663414658957,8.394022,-12.169895,76.340777,98.9342832648522,255.54578,-45.63530155,71.00745396542891,192.5903,83.52422178571429,60.9468305213593,199.04922,17.621566077870643,2.8489286775087397,23.969773154887072,161.8904150776479,84.98735897650329,325.6879835371683,7.811566077870639,14.159773154887072,310.59009702601327,107.16513137394858,138.3848833333333,111.94421666666666,308.51458333333335,-102.60722707690944,95.03638642716558,1.0796625361580168,120.0,120.0,0.9999999916666668,6.168068364382997,82.28543237999999,47.779326792,69.89708637,199.961845542,-79.99765492857144,-56.216473857142844,334.51088500000003,0.0,0.13736598581914589,0.21380013711837723,0.1742283462565384,0.0,0.0,61477.62852871507,171.04069850642333,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
9.432708314285716,3.8466895124713227,19.707487,3.541579,-9.663801085714285,3.030925595916816,-3.1821578,-14.19632,-2.4299114428571427,3.516419135122565,4.7138605,-12.349358,-33.98422321428573,183.64870359130163,530.0642,2.69970067142857,64.87805092692314,118.600296,50.5942215,33.6038666976734,115.049225,14.39970959594809,4.155310391093874,23.97176449310876,173.97432106396658,111.89349556874983,530.4879621000449,4.873091188982436,14.16176449310876,189.04986493405698,114.6985591356229,162.43273333333335,148.71392,150.06986666666666,-137.96045120390593,135.61476617206537,1.0172966711572375,60.0,60.0,0.9999999833333336,4.024268828629765,101.44259901000001,43.523046213,43.559139599999995,188.524784823,-79.60672164285714,-54.13268278571429,334.0470592857143,0.0,0.37662173349768463,0.16708773822549358,0.3249448538370816,0.0,0.0,41898.279976533595,434.76299433328114,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
7.352149235,7.041518689693522,20.102304,-0.89710665,-8.7686008,8.116626588356281,3.5201385,-28.644184,0.059421772083333324,3.5835918337286397,8.298309,-7.133004,-20.703385458333337,292.10984158332803,650.1358,-54.036967125,74.55997710429921,223.04031,139.36255150000002,126.89308334209099,404.7792,13.620400558249221,8.58693315486941,30.04911262228944,300.02566328711225,199.3598516525246,688.4578865338241,7.502880211327574,20.23911262228944,384.81069235251397,163.44970368253055,232.58236333333332,369.2923166666667,172.841555,-319.0980163823818,129.44289246205776,2.4651644277089315,180.0,60.0,2.9999999500000007,4.884788958330057,134.71467593999998,42.20382657,98.0050773,274.92357981,-83.57177133333334,-51.85536508333334,337.35288083333336,0.0,0.1724081846192975,0.27355113479002335,0.2106498068065482,0.0,0.0,31252.932881594286,444.0188290750084,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
12.945771183333335,9.940438811479178,32.60959,-6.1445665,0.8353916083333331,5.776126948924338,7.2672987,-11.123936,-8.534998741666667,5.553267975525176,-2.1678972,-21.410976,27.555775041666664,197.84305994348577,473.73578,9.272198408333331,122.34495168329848,226.05031,27.269220833333335,174.5950727025491,370.4008,19.388683333882927,5.313264935235642,33.15600130678569,234.61410712072072,176.46169139071878,615.2344899863083,9.578683333882926,23.346001306785688,513.2333779346545,181.2209342648454,381.61534166666667,220.85753333333335,292.7219516666667,-287.53825610262436,242.98559492291298,1.183355149141621,60.0,60.0,0.9999999833333336,6.254599982518746,85.34529396,54.615037086,87.73271235000001,227.69304339600004,-86.93431866666667,-50.056909499999996,339.76176833333335,0.0,0.19519161933739726,0.20549302410321282,0.1846896351916439,0.0,0.0,55456.81650672538,595.6415197176972,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
6.785326173846152,8.40472000813759,23.083761,-4.4217353,1.2953657923076927,6.114539658283604,10.310969,-11.123936,-7.734891153846155,2.1579495820013666,-2.5220351,-11.483156,108.06654435384614,146.0602920917121,473.73578,-76.36876481538462,78.73266002241242,226.05031,139.66229384615383,115.4965309500912,360.1892,13.881001810190808,5.248677335773353,24.474930187021535,218.06703216035942,174.16883015275133,615.2344899863083,5.202479333601724,14.664930187021534,254.88988472220322,120.73980737676835,247.61727166666665,220.85753333333335,80.27919999999999,-191.14077194562458,105.27597242677521,1.8156162866408707,120.0,120.0,0.9999999916666668,3.804274599181532,93.12563254499999,63.359564406,105.490236,261.97543295099996,-87.35788015384615,-50.038564615384615,340.34529307692304,0.0,0.2960091132125818,0.16861550409347997,0.46227054455130295,0.0,0.0,34728.277497874726,128.00933470654883,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
8.467095736363635,16.040837486399603,36.59603,-17.94836,1.6617856599999998,7.551648454533439,10.655536,-16.266111,-7.519988963636365,4.9363826318760164,0.997807,-18.156738,10.494869313636366,274.25565820657266,554.9842,1.7678786600000107,161.54342196461292,281.79968,72.73103436363635,214.71037086462022,440.0592,19.687675759801326,9.06105038684257,37.6027906601791,321.9286046076946,221.7612030247717,683.7871794839211,11.105634071386145,27.7927906601791,719.0391493449204,294.9007565523236,642.4329783333334,320.67813333333334,176.3909166666667,-364.1764095220216,444.8824242436645,0.8185902361113955,60.0,60.0,0.9999999833333336,6.6833798495121535,129.204438573,64.3311902844,99.04725981,292.5828886674,-98.245176,-43.43477245454545,348.5026536363637,0.0,0.12752604257384387,0.1450845538194025,0.17583038972377527,0.0,0.0,48754.51366500435,2700.4258821611893,0.0,Jab,Left,Punch (air),False,Jab Left,Punch,Air,S3
